# Homeowner service wizard overrides (key|Spanish)
1. How often do you need cleaning?|1. ¿Con qué frecuencia necesitas limpieza?
1+ year|Más de 1 año
1 bath|1 baño
1 bed|1 habitación
1 cleaner|1 limpiador
1-2 rooms|1-2 habitaciones
1-2 years|1-2 años
1-2 years ago|Hace 1-2 años
2 bath|2 baños
2 bed|2 habitaciones
2 cleaners|2 limpiadores
2 stories|2 pisos
2. How many cleaners would you like?|2. ¿Cuántos limpiadores prefieres?
2+ years|Más de 2 años
3 bed|3 habitaciones
3 cleaners|3 limpiadores
3. Where do you need cleaning?|3. ¿Dónde necesitas limpieza?
3+ bath|3+ baños
3+ stories|3+ pisos
3+ years ago|Hace más de 3 años
3-4 rooms|3-4 habitaciones
3-5 years|3-5 años
4+ bed|4+ habitaciones
5+ rooms|5+ habitaciones
5-7 years|5-7 años
6-12 months|6-12 meses
7+ years|Más de 7 años
0-10 yrs|0-10 años
11-20 yrs|11-20 años
20+ yrs|Más de 20 años
A few details help us bring the right maintenance plan.|Unos detalles nos ayudan a preparar el plan de mantenimiento adecuado.
A few details help us prepare the right tune-up.|Unos detalles nos ayudan a preparar el ajuste adecuado.
A photo helps us identify the right unit if you don't know the serial number.|Una foto nos ayuda a identificar la unidad correcta si no conoces el número de serie.
A provider will confirm details|Un proveedor confirmará los detalles
A technician will review your request|Un técnico revisará tu solicitud
Add a few photos to help our pros prepare.|Agrega algunas fotos para ayudar a nuestros profesionales a prepararse.
Add a photo of the label|Agrega una foto de la etiqueta
Add any details|Agrega cualquier detalle
Add notes|Agregar notas
Add notes (optional)|Agregar notas (opcional)
Add photo|Agregar foto
Add photos (optional)|Agregar fotos (opcional)
Add photos or notes (optional)|Agregar fotos o notas (opcional)
Add up to 5 photos to help our pros prepare.|Agrega hasta 5 fotos para ayudar a nuestros profesionales a prepararse.
Add up to 5 photos. Tap to add more - each photo stays until you remove it.|Agrega hasta 5 fotos. Toca para agregar más; cada foto permanece hasta que la elimines.
Add video|Agregar video
Add-ons|Complementos
After a storm|Después de una tormenta
After major storms|Después de tormentas fuertes
All set|Todo listo
Aluminum|Aluminio
Annual checks help catch moisture, air leaks, and structural issues early.|Las revisiones anuales ayudan a detectar humedad, filtraciones de aire y problemas estructurales a tiempo.
Ants|Hormigas
Any delicate areas?|¿Alguna zona delicada?
Any extra notes?|¿Notas adicionales?
Any problem areas?|¿Alguna zona problemática?
Any special instructions for your cleaner?|¿Instrucciones especiales para tu limpiador?
Anything else we should know?|¿Algo más que debamos saber?
Areas of concern|Áreas de preocupación
Artwork|Obras de arte
As soon as possible|Lo antes posible
Asphalt shingle|Teja asfáltica
Assigning provider|Asignando proveedor
Balcony / patio|Balcón / patio
Baseboards|Zócalos
Bed|Cama
Best contact number|Mejor número de contacto
Best for small spaces|Ideal para espacios pequeños
Best practice|Mejor práctica
Biweekly|Quincenal
Book a pro to handle it|Reserva un profesional para encargarse
Book with a trusted professional.|Reserva con un profesional de confianza.
Booking summary|Resumen de reserva
Books|Libros
Boxes are already inside. One item needs wall anchoring.|Las cajas ya están adentro. Un artículo necesita anclaje en la pared.
Brand / model (optional)|Marca / modelo (opcional)
Brick|Ladrillo
BRRRR|BRRRR
Bubble wrap|Plástico de burbujas
Can extend tank life|Puede prolongar la vida del tanque
Choose a frequency that works for you.|Elige una frecuencia que te funcione.
Choose date|Elegir fecha
Choose the first date|Elegir la primera fecha
Choose your date|Elige tu fecha
Choose your visit|Elige tu visita
Cleaned areas|Áreas limpiadas
Clothing|Ropa
Comments (optional)|Comentarios (opcional)
Concerns|Preocupaciones
Condition|Condición
Copper|Cobre
Cracked caulk|Sellador agrietado
Cracked siding|Revestimiento agrietado
Crew size|Tamaño del equipo
Crew supplies:|Suministros del equipo:
Current condition|Condición actual
Custom|Personalizado
Custom date|Fecha personalizada
Date|Fecha
Deep-clean extras you can add now.|Extras de limpieza profunda que puedes agregar ahora.
Dining room|Comedor
Do you have encapsulation?|¿Tienes encapsulación?
Do you have water spigot access?|¿Tienes acceso a una llave de agua?
Do you know the filter size?|¿Conoces el tamaño del filtro?
Do you want a color update?|¿Quieres cambiar el color?
Doors / shutters|Puertas / persianas
Downspout clogged|Bajante obstruido
Downspout count (optional)|Cantidad de bajantes (opcional)
Dresser|Cómoda
Drop off address|Dirección de entrega
Easy access|Acceso fácil
Edit booking|Editar reserva
Electronics|Electrónicos
Encapsulation|Encapsulación
Enter brand or model|Ingresa marca o modelo
Enter serial number|Ingresa número de serie
Enter your full address|Ingresa tu dirección completa
Estimated hours|Horas estimadas
Estimated range|Rango estimado
Estimated starting price|Precio inicial estimado
Evening|Tarde-noche
Evening before|Noche anterior
Every 2 years|Cada 2 años
Every year in spring|Cada año en primavera
Explore a new look|Explora un nuevo estilo
Exterior|Exterior
Exterior door|Puerta exterior
Exterior perimeter|Perímetro exterior
Extra notes|Notas adicionales
Extra tasks|Tareas extra
Extras|Extras
Fading|Decoloración
Fall|Otoño
Fence|Cerca
Fiber cement|Fibrocemento
Fiber cement / Hardie|Fibrocemento / Hardie
Filters|Filtros
First visit|Primera visita
Flashing / sealant concern|Problema de tapajuntas / sellador
Flexible|Flexible
Focus|Enfoque
Frequency|Frecuencia
From|Desde
Front only|Solo frente
Full exterior|Exterior completo
Garage door|Puerta de garaje
Gas|Gas
Gate code, where bins are stored|Código de portón, dónde se guardan los botes
General cleaning|Limpieza general
Get a price estimate first|Obtén primero un estimado de precio
Get notified before pickup day|Recibe aviso antes del día de recolección
Glassware|Cristalería
Go to My Schedule|Ir a Mi agenda
Ground vapor barrier|Barrera de vapor del suelo
Have you noticed any signs?|¿Has notado algún signo?
Heater type|Tipo de calentador
Heavy dirt|Suciedad pesada
Help INDOR send the right cleaning crew for your move.|Ayuda a INDOR a enviar el equipo de limpieza adecuado para tu mudanza.
Help us estimate the scope of the job.|Ayúdanos a estimar el alcance del trabajo.
Help us prepare the right team and tools.|Ayúdanos a preparar el equipo y las herramientas adecuadas.
Help us understand buildup and access.|Ayúdanos a entender la acumulación y el acceso.
Helps remove sediment|Ayuda a eliminar sedimentos
Hourly rate|Tarifa por hora
How many bins?|¿Cuántos botes?
How many items?|¿Cuántos artículos?
How often?|¿Con qué frecuencia?
How should INDOR help?|¿Cómo debería ayudarte INDOR?
I already did it|Ya lo hice
I don't know the serial number|No conozco el número de serie
In 3 months|En 3 meses
Includes|Incluye
Includes labor, supplies, and equipment.|Incluye mano de obra, suministros y equipo.
INDOR takes bins to the curb|INDOR lleva los botes a la acera
INDOR will remind you and manage your bins on schedule.|INDOR te recordará y gestionará tus botes según el horario.
Inside cabinets|Interior de gabinetes
Inside fridge|Interior del refrigerador
Inside oven|Interior del horno
Insulation|Aislamiento
Interior hatch|Escotilla interior
Interior windows|Ventanas interiores
Is there insulation?|¿Hay aislamiento?
Issues|Problemas
Just a few|Solo unos pocos
Just getting an estimate|Solo quiero un estimado
Keep current colors|Mantener colores actuales
Kitchenware|Utensilios de cocina
Labels|Etiquetas
Last cleaned|Última limpieza
Last maintenance|Último mantenimiento
Last maintenance date|Fecha del último mantenimiento
Last painted|Última pintura
Last-minute help|Ayuda de último momento
Later date|Fecha posterior
Laundry room|Cuarto de lavado
Leaves / debris|Hojas / escombros
Less than 3 years|Menos de 3 años
Light dirt|Suciedad ligera
Lightly furnished|Poco amueblado
Loose paint|Pintura suelta
Main exterior material|Material exterior principal
Make sure everything looks right before we dispatch help.|Asegúrate de que todo esté correcto antes de enviar ayuda.
Mark this task as complete|Marcar esta tarea como completada
Material|Material
Medium|Medio
Metal|Metal
Metal / aluminum|Metal / aluminio
Midday|Mediodía
Mildew / stains|Moho / manchas
Mini split|Mini split
Moderate|Moderado
Mold / algae|Moho / algas
Monthly total|Total mensual
More cleaners = faster, deeper cleaning.|Más limpiadores = limpieza más rápida y profunda.
More than 12 months|Más de 12 meses
More than 2 years|Más de 2 años
Morning of|Mañana del día
Move type|Tipo de mudanza
Multiple items|Varios artículos
Multiple rooms|Varias habitaciones
Need|Necesidad
New in box|Nuevo en caja
No issues - just maintenance|Sin problemas, solo mantenimiento
No signs|Sin signos
No visible issues|Sin problemas visibles
Normal|Normal
Notes for technician|Notas para el técnico
Notes to your cleaner|Notas para tu limpiador
Notification method|Método de notificación
Notify me|Notificarme
Occupied|Ocupado
Office|Oficina
Office chair|Silla de oficina
Old caulking|Sellador viejo
One side only|Solo un lado
One-time flush|Descarga única
Our provider will review any uploaded photos or manuals before arriving to ensure a smooth experience.|Nuestro proveedor revisará las fotos o manuales subidos antes de llegar para garantizar una buena experiencia.
Overflowing water|Agua desbordada
Painted wood|Madera pintada
Parking nearby|Estacionamiento cercano
Partially assembled|Parcialmente armado
Patio|Patio
Patio / deck|Patio / terraza
Peeling / flaking|Desprendimiento / escamado
Pet hair|Pelo de mascotas
Pets/children|Mascotas/niños
Pick a specific date|Elegir una fecha específica
Pick the best time for your yearly tune-up.|Elige el mejor momento para tu ajuste anual.
Pick up address|Dirección de recogida
Pickup day|Día de recolección
Pickup time window|Ventana horaria de recolección
Plants growing|Plantas creciendo
Pollen|Polen
Porch / rails|Porche / barandillas
Power source|Fuente de energía
Preferred arrival time|Hora de llegada preferida
Preferred timing|Horario preferido
Price breakdown|Desglose de precio
Pricing breakdown|Desglose de precios
Priority|Prioridad
Priority areas|Áreas prioritarias
Problem area|Área problemática
Property|Propiedad
Protection plan|Plan de protección
Recommended timing|Horario recomendado
Remind me when it's time|Recuérdame cuando sea el momento
Reminder|Recordatorio
Request confirmed|Solicitud confirmada
Roaches|Cucarachas
Rodents|Roedores
Room|Habitación
Rooms to pack|Habitaciones a empacar
Rumbling noise|Ruido retumbante
Rust stains|Manchas de óxido
Rusty / cloudy water|Agua oxidada / turbia
Sagging sections|Secciones hundidas
Sales tax (8.25%)|Impuesto sobre ventas (8.25%)
Select any concerns and tell us when you'd like the check.|Selecciona tus preocupaciones e indícanos cuándo deseas la revisión.
Select at least one area to check.|Selecciona al menos un área a revisar.
Select rooms, item types, and supplies.|Selecciona habitaciones, tipos de artículos y suministros.
Select the date of your last tune-up, if you know it.|Selecciona la fecha de tu último ajuste, si la conoces.
Selected bins|Botes seleccionados
Selected items|Artículos seleccionados
Selected tasks|Tareas seleccionadas
Service activated|Servicio activado
Service preference|Preferencia de servicio
Service requested|Servicio solicitado
Service subtotal|Subtotal del servicio
Shelving|Estantes
Skip date for now|Omitir fecha por ahora
Skip for now|Omitir por ahora
Slow hot water|Agua caliente lenta
Small space|Espacio pequeño
Special items|Artículos especiales
Special notes (optional)|Notas especiales (opcional)
Spiders / wasps|Arañas / avispas
Spring|Primavera
Spring & Fall|Primavera y otoño
Status|Estado
Step 1 of 3|Paso 1 de 3
Stories|Pisos
Stucco|Estuco
Studio|Estudio
Subscription discount|Descuento por suscripción
Subtotal|Subtotal
Supplies needed|Suministros necesarios
Supplies needed?|¿Se necesitan suministros?
Supports better efficiency|Mejora la eficiencia
Surface|Superficie
System serial|Serie del sistema
Take bins out|Sacar botes
Take out + bring back|Sacar y regresar
Tap to take a photo or choose from gallery|Toca para tomar una foto o elegir de la galería
Tap to upload photos|Toca para subir fotos
Tap to upload photos or manuals|Toca para subir fotos o manuales
Tape|Cinta
Tell us about your cleaning request|Cuéntanos sobre tu solicitud de limpieza
Tell us about your move|Cuéntanos sobre tu mudanza
Tell us about your system|Cuéntanos sobre tu sistema
Tell us anything else that might help...|Cuéntanos cualquier otra cosa que pueda ayudar...
Tell us anything helpful (e.g., weak cooling, strange noise, etc.)|Cuéntanos algo útil (p. ej., enfriamiento débil, ruido extraño, etc.)
Tell us what needs to be cleaned.|Cuéntanos qué necesita limpiarse.
Tell us what you need so we can match you with the right cleaner.|Cuéntanos qué necesitas para conectarte con el limpiador adecuado.
Tell us when it works best for you.|Cuéntanos cuándo te funciona mejor.
Tell us where the items are and when you need help.|Cuéntanos dónde están los artículos y cuándo necesitas ayuda.
Temperature changes|Cambios de temperatura
Termites / wood damage|Termitas / daño en madera
The more details you provide, the better we can prepare the right crew and materials for your move.|Cuantos más detalles proporciones, mejor podremos preparar el equipo y materiales para tu mudanza.
This helps the provider arrive ready.|Esto ayuda al proveedor a llegar preparado.
This month|Este mes
Time|Hora
Timing|Horario
To|Hasta
Tomorrow|Mañana
Total|Total
Touch-up only|Solo retoques
Trash left behind|Basura dejada
Trim & fascia|Molduras y fascia
Tune-up request sent|Solicitud de ajuste enviada
TVs|Televisores
Twice a year|Dos veces al año
Unit info received|Información de unidad recibida
Vapor barrier|Barrera de vapor
Vinyl|Vinilo
Vinyl siding|Revestimiento de vinilo
Visit window|Ventana de visita
Wardrobe boxes|Cajas de guardarropa
Water access|Acceso al agua
We bring the truck.|Nosotros traemos el camión.
We received your request. A pro will confirm soon.|Recibimos tu solicitud. Un profesional confirmará pronto.
We sent your request to a local provider.|Enviamos tu solicitud a un proveedor local.
What are the access conditions?|¿Cuáles son las condiciones de acceso?
What are you assembling?|¿Qué estás armando?
What are you seeing?|¿Qué estás viendo?
What area needs washing?|¿Qué área necesita lavado?
What bins should we manage?|¿Qué botes debemos gestionar?
What condition are the items in?|¿En qué condición están los artículos?
What do you want cleaned?|¿Qué quieres que limpien?
What do you want today?|¿Qué necesitas hoy?
What exterior surface do you have?|¿Qué superficie exterior tienes?
What have you noticed?|¿Qué has notado?
What issues do you notice?|¿Qué problemas notas?
What needs extra attention?|¿Qué necesita atención extra?
What needs to be moved?|¿Qué necesita moverse?
What should we look for?|¿Qué debemos buscar?
What we check|Qué revisamos
What we'll check|Qué revisaremos
What would you like to do?|¿Qué te gustaría hacer?
What's the issue?|¿Cuál es el problema?
What's the main issue?|¿Cuál es el problema principal?
What's the size of your move?|¿Qué tan grande es tu mudanza?
When was the exterior last painted?|¿Cuándo se pintó el exterior por última vez?
When was the last flush?|¿Cuándo fue la última descarga?
When were they last cleaned?|¿Cuándo se limpiaron por última vez?
When works best for you?|¿Cuándo te funciona mejor?
When would you like help?|¿Cuándo te gustaría recibir ayuda?
Where is it happening?|¿Dónde está ocurriendo?
Where is the problem?|¿Dónde está el problema?
Where is the water?|¿Dónde está el agua?
Which areas need attention?|¿Qué áreas necesitan atención?
Why it matters|Por qué importa
Why this matters|Por qué esto importa
Why yearly matters|Por qué importa anualmente
Will any item need wall anchoring?|¿Algún artículo necesitará anclaje en la pared?
Within 1 year|Dentro de 1 año
Within 12 months|Dentro de 12 meses
Within the next 7 days|Dentro de los próximos 7 días
Wood rot|Pudrición de madera
Wood siding|Revestimiento de madera
Would you like to keep the same color?|¿Te gustaría mantener el mismo color?
Yard|Patio trasero
Yearly|Anual
You provide the truck.|Tú proporcionas el camión.
You'll also be prompted after major storms.|También recibirás avisos después de tormentas fuertes.
You'll receive confirmation in the app|Recibirás confirmación en la app
16x20x1 or I don't know|16x20x1 o no lo sé
(painted or unpainted)|(pintado o sin pintar)
